Objects,,,,,,,
100,,,,,,,
,,Global Angle jet1:jet1,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.005042,0.002798,-0.141705,74.016541,102.971489,157.237061
2,0,0.006158,0.003137,-0.142559,74.058289,102.892799,157.212357
3,0,0.004806,0.002808,-0.141658,74.016991,102.964493,157.226013
4,0,0.006306,0.00312,-0.142575,74.060173,102.871353,157.209061
5,0,0.006287,0.003088,-0.142616,74.074547,102.878067,157.221527
6,0,0.00624,0.003072,-0.142572,74.055511,102.870003,157.216629
7,0,0.004561,0.002851,-0.141544,74.046333,102.986847,157.218231
8,0,0.004609,0.002909,-0.14161,74.013748,102.977806,157.196671
9,0,0.006359,0.003203,-0.142581,74.066322,102.895073,157.220047
10,0,0.004551,0.002846,-0.141602,74.044357,103.002289,157.18396
11,0,0.006885,0.002854,-0.142598,74.056549,102.844315,157.165054
12,0,0.006087,0.003076,-0.14256,74.068802,102.904449,157.196548
13,0,0.004586,0.002907,-0.141622,74.022293,102.983231,157.185043
14,0,0.0064,0.003162,-0.142661,74.053085,102.866409,157.201614
15,0,0.006232,0.00319,-0.142522,74.048775,102.880478,157.189377
16,0,0.006498,0.003191,-0.14273,74.070038,102.875633,157.192627
17,0,0.006126,0.003097,-0.142514,74.066948,102.899849,157.191544
18,0,0.006348,0.003162,-0.142584,74.065979,102.876823,157.200989
19,0,0.005103,0.003015,-0.141982,74.031586,102.933693,157.177917
20,0,0.005906,0.00305,-0.142449,74.029869,102.894821,157.185181
21,0,0.004824,0.002724,-0.141722,74.021957,102.965034,157.215881
22,0,0.006154,0.003044,-0.142599,74.065277,102.86496,157.226135
23,0,0.004801,0.002879,-0.141667,74.029366,102.969818,157.223251
24,0,0.006139,0.00312,-0.142673,74.077042,102.857262,157.2117
25,0,0.00632,0.003137,-0.142642,74.063339,102.838104,157.224777
26,0,0.004737,0.002697,-0.141626,74.007553,102.942085,157.23259
27,0,0.005006,0.002844,-0.141841,74.025345,102.944344,157.225174
28,0,0.006105,0.00313,-0.142628,74.045662,102.861801,157.211853
29,0,0.00629,0.003113,-0.142614,74.04834,102.837379,157.212357
30,0,0.004877,0.002876,-0.141671,74.016678,102.956863,157.239731
31,0,0.005964,0.003097,-0.142452,74.070084,102.854713,157.215622
32,0,0.006106,0.003084,-0.142551,74.084038,102.858215,157.225021
33,0,0.004719,0.002757,-0.141606,74.001633,102.956772,157.243179
34,0,0.006195,0.003096,-0.142545,74.058006,102.861664,157.224304
35,0,0.006117,0.003036,-0.142242,74.009102,102.810555,157.236664
36,0,0.006192,0.003125,-0.1426,74.047287,102.856094,157.23848
37,0,0.005958,0.003173,-0.142611,74.042709,102.849892,157.221878
38,0,0.006277,0.003151,-0.142653,74.069695,102.847099,157.23111
39,0,0.006241,0.003068,-0.142639,74.069473,102.846039,157.236633
40,0,0.004883,0.00295,-0.141691,73.994705,102.959404,157.227249
41,0,0.00466,0.002789,-0.141676,74.018982,102.972908,157.236404
42,0,0.006091,0.003061,-0.142604,74.060661,102.865166,157.220749
43,0,0.005923,0.003044,-0.142506,74.050652,102.868881,157.221664
44,0,0.006064,0.003135,-0.142529,74.051132,102.856178,157.240448
45,0,0.00646,0.003215,-0.14266,74.064941,102.84314,157.249374
46,0,0.006068,0.003112,-0.142484,74.045303,102.867889,157.233658
47,0,0.006769,0.002829,-0.142524,74.047905,102.836487,157.19635
48,0,0.004772,0.002813,-0.141653,73.999252,102.973495,157.226715
49,0,0.0066,0.002828,-0.142427,74.051392,102.853867,157.185699
50,0,0.00491,0.002848,-0.141419,74.000153,102.898796,157.213104
51,0,0.006028,0.003024,-0.142576,74.079887,102.865463,157.22789
52,0,0.004799,0.002844,-0.141626,74.01049,102.985146,157.231415
53,0,0.004719,0.002897,-0.141799,74.023544,102.948891,157.19165
54,0,0.006361,0.002994,-0.142376,74.037392,102.820389,157.221115
55,0,0.005256,0.002791,-0.142068,74.035759,102.947044,157.205368
56,0,0.006202,0.003025,-0.142614,74.066956,102.888588,157.205032
57,0,0.004754,0.002735,-0.141289,74.009338,102.931229,157.217133
58,0,0.006334,0.003046,-0.142335,74.057396,102.82605,157.213928
59,0,0.004684,0.002845,-0.141679,74.074158,102.974579,157.198975
60,0,0.00611,0.003091,-0.142554,74.083282,102.89061,157.207245
61,0,0.00629,0.003101,-0.142573,74.080177,102.878952,157.211792
62,0,0.006317,0.003011,-0.142631,74.073891,102.877281,157.213242
63,0,0.006223,0.003129,-0.142592,74.077591,102.88063,157.215637
64,0,0.00613,0.003126,-0.142487,74.077347,102.88562,157.210098
65,0,0.006321,0.003013,-0.142287,74.052986,102.821259,157.228775
66,0,0.006201,0.003113,-0.142626,74.07869,102.885666,157.221069
67,0,0.006376,0.003075,-0.142708,74.074753,102.886185,157.233932
68,0,0.006275,0.003025,-0.14226,74.056824,102.838158,157.218887
69,0,0.004772,0.002813,-0.141632,74.07354,103.003471,157.213455
70,0,0.006363,0.003131,-0.142647,74.111458,102.901573,157.233871
71,0,0.006307,0.003119,-0.142567,74.088226,102.898331,157.23262
72,0,0.006365,0.003068,-0.142607,74.059769,102.913315,157.220901
73,0,0.006098,0.003105,-0.14252,74.056152,102.896408,157.233871
74,0,0.006739,0.00293,-0.142428,74.064323,102.863831,157.193497
75,0,0.006258,0.003173,-0.142586,74.058121,102.890129,157.217392
76,0,0.00601,0.003239,-0.142413,74.072433,102.891296,157.21608
77,0,0.006189,0.003177,-0.142565,74.088455,102.887512,157.230042
78,0,0.00611,0.003142,-0.142575,74.072304,102.910736,157.227417
79,0,0.004628,0.002788,-0.141651,74.023727,103.001411,157.240616
80,0,0.00597,0.003129,-0.142436,74.04039,102.917427,157.209885
81,0,0.005887,0.003159,-0.142443,74.069458,102.907486,157.219208
82,0,0.005995,0.00308,-0.142562,74.05616,102.901802,157.221802
83,0,0.006233,0.003101,-0.142563,74.052689,102.887131,157.218094
84,0,0.006088,0.003132,-0.142513,74.054535,102.864532,157.222565
85,0,0.005221,0.002896,-0.141953,74.037415,102.919754,157.233292
86,0,0.006258,0.003041,-0.142608,74.08918,102.878494,157.225906
87,0,0.006241,0.003128,-0.142559,74.085419,102.887314,157.206284
88,0,0.004772,0.002771,-0.141659,74.023094,102.983459,157.230362
89,0,0.004529,0.002846,-0.141603,74.029778,102.989159,157.222595
90,0,0.006253,0.003108,-0.142658,74.085358,102.865334,157.221802
91,0,0.006197,0.003073,-0.142573,74.075043,102.867973,157.21312
92,0,0.00638,0.003159,-0.142649,74.069862,102.882286,157.217606
93,0,0.004754,0.003021,-0.141644,74.037704,102.97966,157.211914
94,0,0.006309,0.003096,-0.14264,74.044373,102.864166,157.209686
95,0,0.00468,0.002717,-0.141677,74.019379,102.966782,157.227371
96,0,0.004662,0.00288,-0.141686,74.064484,102.962852,157.195358
97,0,0.004555,0.002869,-0.141621,74.066643,102.990021,157.216949
98,0,0.006324,0.003135,-0.142605,74.100243,102.875229,157.219742
99,0,0.005989,0.003061,-0.14251,74.084816,102.877831,157.215683
100,0,0.006158,0.003045,-0.142513,74.059013,102.876862,157.21106
101,0,0.005008,0.002977,-0.141799,74.040718,102.968521,157.202682
102,0,0.005975,0.003018,-0.142535,74.048714,102.875908,157.208496
103,0,0.006159,0.00307,-0.142594,74.077034,102.880478,157.205063
104,0,0.004931,0.002786,-0.141743,74.033867,102.972824,157.225784
105,0,0.004535,0.002763,-0.141585,74.047775,102.985916,157.223846
106,0,0.006009,0.003049,-0.142534,74.085083,102.872993,157.21524
107,0,0.006217,0.003112,-0.142599,74.09494,102.863884,157.22966
108,0,0.005915,0.00312,-0.142492,74.090721,102.875183,157.234512
109,0,0.006245,0.003133,-0.142666,74.07196,102.873703,157.219009
110,0,0.006154,0.003084,-0.142598,74.076813,102.874771,157.223938
111,0,0.006277,0.003074,-0.142691,74.104927,102.863716,157.257111
112,0,0.006372,0.003101,-0.142648,74.118118,102.868652,157.240692
113,0,0.006083,0.003013,-0.142232,74.054588,102.844482,157.233078
114,0,0.005072,0.002807,-0.14182,74.031738,102.990028,157.242096
115,0,0.006005,0.003107,-0.142478,74.075111,102.904137,157.206207
116,0,0.006213,0.00312,-0.14222,74.037407,102.858589,157.201828
117,0,0.006167,0.003047,-0.142594,74.086632,102.898079,157.208817
118,0,0.006425,0.003177,-0.142656,74.092712,102.886375,157.211456
119,0,0.006168,0.00317,-0.14256,74.100739,102.914757,157.215347
120,0,0.006198,0.003117,-0.14259,74.084015,102.912399,157.201447
121,0,0.00609,0.003087,-0.142497,74.076324,102.923203,157.19426
122,0,0.006206,0.003231,-0.142572,74.095955,102.922653,157.200882
123,0,0.00626,0.003098,-0.142568,74.075417,102.925209,157.187927
124,0,0.004785,0.002783,-0.141619,74.039116,102.989708,157.205383
125,0,0.006722,0.002916,-0.142433,74.082024,102.868523,157.154846
126,0,0.006349,0.003101,-0.14263,74.091904,102.888412,157.211853
127,0,0.006221,0.003083,-0.142542,74.070938,102.887047,157.205826
128,0,0.004875,0.002913,-0.141743,74.073029,102.984451,157.197617
129,0,0.006268,0.00314,-0.142527,74.061935,102.890739,157.205856
130,0,0.004373,0.00292,-0.141438,74.042747,103.003876,157.208847
131,0,0.006235,0.003078,-0.142212,74.046379,102.835571,157.224625
132,0,0.004531,0.002887,-0.141601,74.049103,102.986618,157.200897
133,0,0.006862,0.002904,-0.142464,74.08831,102.863319,157.174576
134,0,0.004609,0.002869,-0.141548,74.037598,103.005913,157.214676
135,0,0.005602,0.002951,-0.142156,74.044304,102.931358,157.23082
136,0,0.006304,0.003154,-0.142634,74.059418,102.870674,157.229568
137,0,0.00626,0.003087,-0.142668,74.069862,102.866905,157.232086
138,0,0.006075,0.003133,-0.142556,74.057739,102.862114,157.213898
139,0,0.004481,0.002884,-0.141582,74.041206,102.969475,157.211746
140,0,0.00468,0.00275,-0.141615,74.014832,102.966187,157.245911
141,0,0.005591,0.002844,-0.141772,74.017715,102.864349,157.227676
142,0,0.006065,0.003094,-0.14247,74.051239,102.870285,157.215088
143,0,0.0062,0.003078,-0.14259,74.062614,102.847618,157.233459
144,0,0.004894,0.003017,-0.141727,74.051292,102.953239,157.218292
145,0,0.006111,0.003192,-0.142505,74.062782,102.846283,157.222687
146,0,0.006052,0.003051,-0.142573,74.071388,102.856232,157.22995
147,0,0.006135,0.00308,-0.142568,74.063683,102.855286,157.226654
148,0,0.006311,0.002961,-0.142328,74.040642,102.791389,157.245956
149,0,0.006044,0.002992,-0.142119,74.040222,102.82222,157.235855
150,0,0.005915,0.003046,-0.142427,74.077606,102.875908,157.235626
151,0,0.005068,0.002465,-0.141389,74.011978,102.960785,157.199188
152,0,0.006128,0.002825,-0.142467,74.063789,102.864372,157.239319
153,0,0.006517,0.001218,-0.142675,74.24514,102.867142,157.362595
154,0,0.005458,-0.000383,-0.141943,74.898842,102.919609,157.468475
155,0,0.00859,0.001771,-0.143136,76.029678,102.918182,157.21843
156,0,0.00427,0.002625,-0.141482,76.871437,102.892517,157.153412
157,0,0.004472,0.003621,-0.141356,77.700516,102.905624,157.11525
158,0,0.006075,0.002788,-0.142071,78.546661,102.860329,157.308884
159,0,0.005926,0.000314,-0.141987,79.481453,102.834305,157.509644
160,0,0.008645,0.001219,-0.142079,80.69072,102.81543,157.465469
161,0,0.006151,0.002025,-0.141754,81.860565,102.771378,157.423309
162,0,0.005885,0.003826,-0.141717,83.065895,102.793732,157.289017
163,0,0.006726,0.003605,-0.142113,84.139473,102.808151,157.373947
164,0,0.004016,0.002051,-0.140264,84.935081,102.806618,157.394104
165,0,0.004638,0.00123,-0.140288,85.769928,102.746552,157.475876
166,0,0.007283,0.001993,-0.141086,86.816795,102.5243,157.43483
167,0,0.005542,0.003,-0.14047,87.748268,102.640755,157.435837
168,0,0.008135,0.003777,-0.14158,88.700745,102.520508,157.359512
169,0,0.006951,0.00315,-0.141165,89.415596,102.479713,157.411301
170,0,0.006244,0.002344,-0.140469,90.111382,102.537682,157.520676
171,0,0.00686,0.002726,-0.140753,90.887619,102.468727,157.481537
172,0,0.005634,0.002558,-0.139953,91.555794,102.553917,157.474869
173,0,0.00735,0.00313,-0.140251,92.234489,102.464851,157.499649
174,0,0.007529,0.002763,-0.140548,92.85878,102.428955,157.500717
175,0,0.006891,0.001365,-0.140356,93.614479,102.408569,157.571625
176,0,0.005849,-0.002059,-0.139277,94.740517,102.460716,157.853119
177,0,0.010155,-0.002126,-0.140137,96.538933,102.42466,157.753754
178,0,0.006923,-0.004361,-0.138443,98.670311,102.262413,157.982605
179,0,0.006858,-0.00336,-0.138301,101.58168,102.378494,157.984375
180,0,0.009897,-0.003119,-0.138767,104.847572,102.245857,157.825089
181,0,0.008994,-0.002986,-0.13899,108.646118,101.988632,157.902191
182,0,0.010974,-0.004198,-0.138851,113.135948,101.98024,157.909195
183,0,0.008614,-0.006943,-0.137689,117.690498,101.801834,158.140656
184,0,0.010093,-0.005588,-0.136593,123.338058,101.770393,158.005157
185,0,0.010056,-0.005132,-0.135607,129.375946,101.729553,157.949066
186,0,0.008865,-0.005001,-0.134615,135.434784,101.625763,157.891251
187,0,0.006227,-0.007111,-0.133798,141.887405,101.498505,158.178619
188,0,0.007972,-0.00729,-0.134502,148.760361,101.345665,158.210251
189,0,0.009256,-0.007271,-0.133283,156.290588,101.293655,158.195557
190,0,0.00804,-0.007425,-0.132649,164.018112,101.128433,158.393005
191,0,0.005133,-0.007276,-0.130181,172.354263,101.157883,158.464584
192,0,0.008067,-0.007023,-0.130381,180.950729,100.933311,158.649612
193,0,0.007116,-0.009206,-0.12877,190.013519,100.722198,158.683945
194,0,0.008588,-0.008145,-0.127973,199.775131,100.453957,158.574615
195,0,0.011209,-0.005095,-0.127972,209.703766,100.258232,158.497711
196,0,0.010071,-0.00519,-0.12652,219.962753,100.011391,158.405228
197,0,0.011751,-0.004626,-0.126199,230.347687,99.939369,158.567261
198,0,0.01051,-0.006545,-0.124621,241.039688,99.713882,158.669266
199,0,0.010953,-0.005531,-0.123028,251.895721,99.742287,158.762756
200,0,0.01397,-0.003024,-0.121936,263.120605,99.710724,158.666702
201,0,0.014149,-0.003398,-0.120079,274.660583,99.620506,158.751221
202,0,0.012553,-0.005469,-0.12038,286.465546,99.342064,158.735901
203,0,0.014317,-0.003365,-0.118742,298.236877,99.397987,158.491898
204,0,0.013572,-0.003843,-0.118226,310.326447,99.42807,158.500443
205,0,0.010434,-0.00601,-0.11793,322.558563,99.437073,158.758362
206,0,0.011074,-0.007278,-0.116273,334.785614,99.577141,159.079788
207,0,0.011799,-0.008781,-0.115189,346.991669,99.505737,159.274124
208,0,0.015223,-0.009284,-0.114482,359.498047,99.237572,159.588379
209,0,0.018508,-0.00783,-0.112052,371.979248,99.2799,159.824036
210,0,0.016186,-0.009868,-0.11166,384.760071,99.135277,160.052429
211,0,0.017402,-0.009389,-0.110273,397.846588,99.23819,160.016144
212,0,0.015739,-0.01085,-0.109165,411.104523,99.507812,159.809769
213,0,0.013637,-0.010589,-0.108012,425.121613,99.742493,159.445862
214,0,0.01108,-0.010836,-0.107903,439.15567,99.75972,159.107895
215,0,0.011303,-0.010061,-0.105964,453.136353,100.045189,159.117264
216,0,0.011984,-0.010581,-0.103427,467.269531,100.37233,159.412872
217,0,0.011945,-0.011718,-0.10161,481.380676,100.496925,159.811523
218,0,0.012708,-0.010243,-0.100798,495.715179,100.700844,159.975937
219,0,0.016226,-0.008068,-0.10104,510.383545,100.809845,160.161118
220,0,0.015718,-0.006672,-0.099413,525.126221,100.97905,160.082382
221,0,0.014519,-0.006102,-0.09724,539.817871,101.270256,159.84407
222,0,0.014326,-0.008554,-0.096996,554.752502,101.476616,159.945267
223,0,0.014623,-0.010295,-0.095683,570.032715,101.848259,160.073349
224,0,0.015052,-0.010814,-0.094346,584.970581,101.991974,159.909836
225,0,0.014293,-0.010834,-0.092852,600.273987,102.299995,159.828552
226,0,0.012093,-0.010665,-0.091078,615.74939,102.838234,159.93158
227,0,0.011089,-0.010467,-0.089645,631.205505,103.2547,160.038376
228,0,0.010687,-0.009537,-0.087964,646.638306,103.887581,160.147583
229,0,0.013409,-0.008063,-0.087379,662.19458,104.190956,160.327133
230,0,0.012839,-0.007778,-0.084924,677.812561,104.671158,160.432892
231,0,0.013423,-0.006077,-0.083299,693.578369,105.094444,160.4785
232,0,0.014975,-0.005772,-0.082178,709.50293,105.455017,160.716629
233,0,0.012917,-0.005598,-0.080472,725.551575,106.063858,160.654099
234,0,0.011768,-0.007097,-0.078476,741.572632,106.567574,160.701736
235,0,0.010795,-0.009435,-0.076841,757.7146,107.326447,160.849564
236,0,0.012145,-0.009173,-0.077292,773.778931,108.00235,160.909332
237,0,0.010155,-0.010373,-0.074376,789.881409,108.787521,160.838974
238,0,0.009757,-0.006103,-0.071624,806.468445,109.613304,160.619217
239,0,0.009943,-0.004111,-0.070464,822.754272,110.253967,160.473953
240,0,0.011512,-0.002751,-0.069462,839.130371,111.067795,160.721344
241,0,0.009672,-0.006859,-0.066589,855.345642,111.707092,161.073257
242,0,0.01168,-0.007395,-0.065399,871.572021,112.393112,161.106995
243,0,0.01065,-0.009565,-0.063877,888.128662,113.179337,161.259216
244,0,0.011784,-0.00864,-0.063067,904.735352,113.995712,161.201782
245,0,0.010621,-0.008209,-0.06176,921.306335,114.853188,161.019958
246,0,0.010239,-0.007597,-0.060553,937.938354,115.875954,161.117462
247,0,0.009295,-0.008417,-0.05952,954.492615,116.974762,161.294632
248,0,0.010027,-0.008265,-0.058075,971.067688,117.952019,161.512436
249,0,0.0088,-0.009825,-0.055535,987.65625,118.955406,161.620544
250,0,0.010322,-0.008408,-0.054671,1004.247681,119.900284,161.515015
251,0,0.01003,-0.008464,-0.053278,1020.858643,120.93885,161.421127
252,0,0.010561,-0.007885,-0.052891,1037.694458,121.940758,161.261505
253,0,0.011514,-0.007736,-0.052182,1054.539795,123.098831,161.170853
254,0,0.012102,-0.008847,-0.051022,1071.195312,124.106857,161.260773
255,0,0.01346,-0.009054,-0.050144,1087.979492,125.225517,161.412704
256,0,0.009042,-0.009441,-0.047801,1104.781128,126.514763,161.573975
257,0,0.009511,-0.006075,-0.045902,1121.709595,127.762436,161.252075
258,0,0.009047,-0.007429,-0.044699,1138.931152,128.904907,161.469666
259,0,0.013662,-0.005564,-0.043692,1155.533569,129.82132,161.413467
260,0,0.012983,-0.006811,-0.04176,1172.496216,130.995117,161.610016
261,0,0.015832,-0.005537,-0.042176,1189.339233,132.143631,161.537277
262,0,0.012618,-0.006986,-0.040459,1206.598511,133.498581,161.420547
263,0,0.011841,-0.008386,-0.038943,1223.820679,134.905121,161.562515
264,0,0.016426,-0.010195,-0.039027,1241.328979,136.214035,161.931519
265,0,0.017892,-0.011804,-0.037507,1258.843018,137.67366,162.466934
266,0,0.014493,-0.011247,-0.035133,1276.430298,139.167252,162.720703
267,0,0.015995,-0.007877,-0.033446,1294.16272,140.552414,162.83403
268,0,0.012642,-0.008485,-0.031851,1312.124512,142.008682,162.665268
269,0,0.014133,-0.008537,-0.03024,1329.8396,143.450012,162.69635
270,0,0.012512,-0.009097,-0.027988,1347.60791,144.963196,162.495377
271,0,0.015063,-0.01019,-0.027331,1365.456909,146.562408,162.412399
272,0,0.016127,-0.011745,-0.025563,1383.329346,148.128128,162.664749
273,0,0.015091,-0.015576,-0.022525,1401.190552,149.949295,162.913528
274,0,0.01629,-0.015551,-0.021667,1419.919678,151.682526,163.171173
275,0,0.016178,-0.012788,-0.019635,1438.939453,153.354752,163.018936
276,0,0.01622,-0.007864,-0.0174,1457.970581,154.999756,162.599304
277,0,0.018098,-0.005092,-0.015836,1477.013184,156.731461,162.605438
278,0,0.017547,-0.006199,-0.01423,1495.809692,158.488922,162.763474
279,0,0.018199,-0.006876,-0.012637,1514.627319,160.330338,162.965591
280,0,0.016483,-0.011225,-0.010635,1533.283203,162.374161,163.252228
281,0,0.018469,-0.011528,-0.010605,1551.951172,164.215958,163.293411
282,0,0.020759,-0.007163,-0.009033,1570.946777,166.400406,163.037659
283,0,0.021636,-0.003004,-0.008577,1590.187622,168.338913,162.963364
284,0,0.020451,-0.001532,-0.006605,1609.164673,170.42804,162.885849
285,0,0.020215,-0.002511,-0.004969,1628.018677,172.514618,163.133545
286,0,0.021741,-0.005161,-0.004249,1646.642334,174.670837,163.139862
287,0,0.014989,-0.005469,0.000987,1665.501953,177.021271,162.666565
288,0,0.01538,-0.007093,0.001314,1684.306152,179.203354,162.78212
289,0,0.013599,-0.006745,0.001759,1703.13269,181.283783,162.645538
290,0,0.015705,-0.00427,0.003542,1722.218506,183.759476,162.52153
291,0,0.013991,-0.002852,0.005697,1741.049072,186.231995,162.459656
292,0,0.015363,-0.000156,0.006794,1760.109741,188.670685,162.413086
293,0,0.010989,-0.001327,0.009048,1779.148071,190.993668,162.149338
294,0,0.011037,-0.00166,0.01096,1797.734741,193.688263,162.09137
295,0,0.017406,-0.001614,0.010244,1816.618042,195.902802,162.440369
296,0,0.013539,-0.00355,0.012635,1835.021606,198.569,162.543701
297,0,0.019295,-0.002578,0.012352,1854.053345,200.856232,162.786026
298,0,0.009263,-0.0034,0.016965,1873.095093,203.527512,162.393387
299,0,0.005724,-0.004473,0.020594,1891.982178,206.552399,162.627258
300,0,0.010409,-0.004016,0.020325,1910.447021,209.193405,162.892212
301,0,0.007017,-0.00404,0.02308,1929.527954,211.88707,162.628006
302,0,0.013004,-0.001892,0.024598,1948.383179,214.47673,162.518112
303,0,0.015437,-0.000254,0.026887,1967.441284,216.864532,162.156479
304,0,0.008492,-0.003588,0.030205,1986.447876,219.559494,162.008209
305,0,0.008534,-0.007076,0.030774,2005.114746,222.371185,162.518295
306,0,0.015374,-0.006972,0.031812,2023.581543,225.118088,162.952362
307,0,0.018882,-0.009085,0.033041,2042.145996,227.808044,163.280136
308,0,0.016598,-0.005973,0.036269,2061.094727,230.6828,163.484207
309,0,0.01392,-0.004826,0.036907,2080.212646,233.436798,163.486984
310,0,0.012346,-0.004535,0.038824,2098.933594,236.392654,163.449524
311,0,0.013543,-0.005561,0.040777,2117.615234,239.224045,163.432297
312,0,0.015567,-0.007382,0.042931,2135.97876,242.099731,163.660614
313,0,0.014876,-0.00971,0.044202,2154.767822,244.991241,164.017502
314,0,0.01452,-0.010949,0.046338,2173.263672,248.06572,163.955414
315,0,0.017012,-0.0081,0.046679,2191.923828,251.220383,163.911057
316,0,0.011631,-0.008432,0.048411,2210.559082,254.486145,163.986816
317,0,0.011847,-0.006565,0.049783,2229.248291,257.681396,164.121399
318,0,0.013056,-0.006518,0.05167,2247.993408,260.823914,164.022369
319,0,0.016414,-0.007893,0.052586,2266.384766,263.886475,164.201523
320,0,0.018867,-0.008996,0.054206,2284.850098,266.912842,164.045868
321,0,0.017434,-0.009484,0.05503,2303.446045,270.189606,164.193527
322,0,0.015636,-0.011778,0.057069,2321.750732,272.601288,164.02121
323,0,0.016881,-0.008483,0.060353,2340.734375,276.029572,164.029495
324,0,0.01951,-0.006369,0.060396,2358.928711,278.774109,164.334641
325,0,0.013674,-0.006905,0.065154,2377.253906,282.399323,164.480896
326,0,0.01155,-0.007382,0.066223,2395.907227,285.585846,164.641846
327,0,0.013413,-0.006481,0.067652,2414.364746,289.012421,164.605148
328,0,0.017954,-0.00529,0.067152,2432.895264,292.078156,164.580353
329,0,0.013654,-0.007937,0.070662,2451.167236,295.559967,164.634872
330,0,0.020868,-0.005911,0.069832,2469.650391,298.675385,164.662933
331,0,0.012482,-0.010422,0.074912,2488.062744,302.183289,165.025528
332,0,0.018628,-0.00692,0.075024,2506.387939,305.432556,165.175354
333,0,0.014651,-0.006463,0.077861,2524.421631,309.095154,165.084488
334,0,0.014137,-0.00689,0.079979,2542.69458,312.544983,165.162262
335,0,0.016593,-0.006083,0.080532,2560.810791,315.891113,165.088623
336,0,0.013314,-0.009078,0.081999,2579.156006,319.096039,165.378098
337,0,0.018532,-0.006128,0.081692,2597.098877,322.246399,165.531342
338,0,0.010918,-0.009957,0.081116,2615.773682,325.550201,165.359787
339,0,0.012734,-0.008425,0.080364,2633.640137,328.770172,165.270401
340,0,0.024327,-0.004955,0.076918,2655.249756,331.337372,162.582458
341,0,0.02005,-0.001555,0.078074,2673.885498,334.131531,161.853165
342,0,0.021811,0.000227,0.074298,2692.292725,336.983124,161.653702
343,0,0.018494,-0.002136,0.072399,2710.328857,339.83725,161.654556
344,0,0.016342,-0.002623,0.070958,2728.562012,342.629059,161.36644
345,0,0.01803,-0.006118,0.07027,2746.179443,345.285767,162.593719
346,0,0.015765,-0.004521,0.063501,2764.857666,347.543457,161.744751
347,0,0.01092,-0.001547,0.060465,2783.164062,349.698639,161.710938
348,0,0.008285,0.000509,0.054113,2801.833008,351.902344,161.284653
